pl_name,hostname,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_eqt,st_teff,st_rad,st_mass,sy_dist,sy_pnum,sy_snum
2MASS J0052+0012,,2011,,,,18432.4,,,,,,945,1
2MASS J0052+0012 b,,2011,,49.0,,11440.800000000001,,,,,,945,1
2MASS J0103+1935,,2000,,,15.02006,4789.246,1231.0,,,,,945,1
2MASS J0103-5515 (AB)b,2MASS J0103-5515,2013,,84.0,17.26186,3336.9,1731.0,,,0.4,47.2,1,1
2MASS J0107+0041,,2002,,,10.98482,16655.898,1385.0,,,,,945,1
2MASS J0117-3403,,2019,,,,5211.92,,,,,,945,1
2MASS J0119+2403,,2006,,,,15254.400000000001,,,,,,945,1
2MASS J0119+2403 b,,2010,,1.9,,11440.800000000001,,,,,,945,1
2MASS J0122-2439 b,2MASS J0122-2439,2013,,52.0,13.4508,7945.0,,3530.0,0.37,0.4,36.0,1,1
2MASS J0137-4558 b,2MASS J0137-4558,2017,11680.0,6.0,,19068.0,,2877.0,0.276,0.25,38.0,1,1
2MASS J0139+8110,,2018,,,24.21144,20021.4,1950.0,,,,,945,1
2MASS J0139+8110 b,,2020,,959.0,17.71022,19385.8,1800.0,,,,,945,1
2MASS J0141-4633,,2006,,,11.332298999999999,438.56399999999996,2633.0,,,,,945,1
2MASS J0153-6744,,2022,,,16.58932,5402.6,1664.0,,,,,945,1
2MASS J0207+0000,,2002,,,10.872729999999999,14962.024,1201.0,,,,,945,1
2MASS J0210-3015,,2015,,,17.14977,4636.702,1598.0,,,,,945,1
2MASS J0213+3648 (AB)b,2MASS J0213+3648,2017,,360.0,12.3299,20021.4,1300.0,3300.0,0.214,0.26,22.2,1,1
2MASS J0219-39 b,2MASS J0219-3925,2015,,156.0,16.14096,4417.42,1683.0,3064.0,0.27,0.11,39.4,1,1
2MASS J0223-5815,,2008,,,,7023.380000000001,,,,,,945,1
2MASS J0226-5327,,2015,,,,4353.86,1800.0,,,,,945,1
2MASS J0234-6442,,2010,,,18.15858,6216.168,1850.0,,,,,945,1
2MASS J0241-0326,,2008,,,15.804689999999999,8691.83,1788.0,,,,,945,1
2MASS J0243-2453,,2002,,,10.53646,13852.902000000002,972.0,,,,,945,1
2MASS J0249-0557A,,2018,,,,15254.400000000001,,,,,,945,1
2MASS J0249-0557 (AB)b,,2018,,,,3686.48,,,,,,945,1
2MASS J0249-0557B,,2018,,,,13983.2,,,,,,945,1
2MASS J0249-0557 c,,2018,,,17.37395,3616.5640000000003,1723.0,,,,,945,1
2MASS J0253+3206,,2003,,,21.297099999999997,20688.78,2628.0,,,,,945,1
2MASS J0310+1648,,2000,,,,14301.0,,,,,,945,1
2MASS J0310+1648 b,,2010,27010.0,5.2,,14301.0,,,,,,945,1
2MASS J0318-3421,,2007,,,10.872729999999999,15565.844,1344.0,,,,,945,1
2MASS J0320-0446 b,2MASS J0320-0446,2008,246.73,0.395,,,1350.0,2300.0,,0.081,25.0,2,1
2MASS J0320-0446 c,2MASS J0320-0446,2008,,8.3,,11123.0,,2300.0,,0.081,25.0,2,1
2MASS J0323-4631,,2008,,,10.939983999999999,498.946,2701.0,,,,,945,1
2MASS J0325+0425,,2006,,,10.648549999999998,14177.058,1015.0,,,,,945,1
