pl_name,hostname,sy_snum,sy_pnum,sy_mnum,cb_flag,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_orbeccen,pl_insol,pl_eqt,pl_dens,pl_orbincl,st_teff,st_rad,st_mass,st_met,st_logg,st_age,st_dens,sy_dist,sy_vmag,sy_kmag,sy_gaiamag
HD 106315 c,HD 106315,1,2,0,0,Transit,2017,21.05704,0.1536,4.35,0.38808101,15.2,0.04782431,0.22,97.0,886.0,1.01,88.61,6327.0,1.296,1.091,-0.311,4.252,4.48,0.977063,109.353,8.951,7.853,8.88841
HAT-P-65 b,HAT-P-65,1,1,0,0,Transit,2016,2.60544751,0.04042,18.05766791,1.611,176.07693748,0.554,0.304,1821.0,1818.0,0.164,88.3,5872.0,1.666,1.297,0.208,4.1079,3.9,0.397,738.519,13.121,11.528,12.9952
WASP-107 b,WASP-107,1,2,0,0,Transit,2017,5.7214876,0.055,10.53646,0.94,30.51152707,0.096,0.09,51.0,736.0,0.134,89.55,4425.0,0.657,0.683,0.02,4.633,3.4,3.441,64.7414,11.592,8.637,11.174
Kepler-409 b,Kepler-409,1,1,0,0,Transit,2014,68.9583216,0.3192,1.199,0.1069678,6.0,0.01887811,0.69,6.15,438.0,19.0,86.3,5421.0,0.897,0.913,0.05,4.5,5.8,1.81,68.173,9.636,7.768,9.39109
Kepler-701 b,Kepler-701,1,1,0,0,Transit,2016,10.35533177,0.0895,2.84,0.25336783,8.45,0.0266,0.0,75.623,777.0,2.03,89.93,5343.0,0.84,0.88,0.0,4.54,4.47,2.92779,774.152,15.056,13.141,14.9683
GJ 9827 d,GJ 9827,1,3,0,0,Transit,2017,6.20183,0.053,1.98,0.17664407,3.02,0.00950198,0.0,34.9,675.0,2.51,87.41,4236.0,0.58,0.62,-0.29,4.7,5.465,3.97,29.661,10.37,7.193,9.83773
NGTS-2 b,NGTS-2,1,1,0,0,Transit,2018,4.511164,0.063,17.878355,1.595,235.1942,0.74,0.0,1085.35,1468.0,0.226,88.5,6478.0,1.702,1.64,-0.06,4.197,2.17,0.477,356.391,10.789,9.799,10.8605
CoRoT-36 b,CoRoT-36,1,1,0,0,Transit,2022,5.616531,0.066,15.80466279,1.41,216.12331676,0.68,0.0,1491.0287,1567.0,0.25,85.83,6730.0,1.52,1.32,-0.1,4.16,2.1,0.237322,925.958,13.126,11.592,12.9515
MOA-2015-BLG-337L b,MOA-2015-BLG-337L,1,1,0,0,Microlensing,2018,,0.24,6.42,0.572,33.7,0.106,,,,0.7,,,,0.0094,,,,,7100.0,,,
TOI-4145 A b,TOI-4145 A,2,1,0,0,Transit,2023,4.0664428,0.04823,13.30506009,1.187,136.66621501,0.43,0.0,223.0,1074.0,0.32,86.2,5281.0,0.859,0.905,0.168,4.526,4.7,2.01,205.387,12.084,10.286,12.0572
K2-380 b,K2-380,1,1,0,0,Transit,2022,9.401312,,2.729,0.24346549,7.89,0.0248,,,,2.13,,5911.0,1.32,0.993,-0.049,4.194,,0.556762,249.303,11.688,9.681,11.4419
TOI-5616 b,TOI-5616,1,1,0,0,Transit,2024,2.002849,0.0272,10.78,0.961,624.0,1.96332356,0.0,137.0,939.0,,88.13,3996.0,0.646,0.666,0.14,4.67,7.2,3.49,390.415,16.74,12.735,15.6306
Kepler-650 b,Kepler-650,1,1,0,0,Transit,2016,3.032145588,0.0421,2.96,0.26407351,9.06,0.0285,0.0,1218.88,1507.0,1.92,76.77,5849.0,1.35,1.08,0.13,4.21,6.46,0.55261,884.378,13.825,12.144,14.1242
Kepler-715 b,Kepler-715,1,1,0,0,Transit,2016,10.00652995,0.0933,3.75,0.33455259,13.5,0.0426,0.0,181.408,876.0,1.41,83.94,5871.0,1.04,1.04,0.02,4.42,3.98,0.1029,1327.44,15.204,13.592,15.0333
Kepler-1511 b,Kepler-1511,1,1,0,0,Transit,2016,23.2382792,0.1753,1.68,0.14987956,3.46,0.0109,0.0,228.219,903.0,4.01,88.98,6064.0,1.29,1.17,0.14,4.28,3.31,0.35178,1475.6,13.564,12.471,13.5024
WASP-34 b,WASP-34,1,1,0,0,Transit,2010,4.31768,0.0524,11.209,1.0,177.9848,0.56,0.04,229.962,1250.0,0.412,85.2,5700.0,0.91,0.96,-0.02,4.5,7.8,1.78,132.096,10.285,8.792,10.2046
HD 179949 b,HD 179949,1,1,0,0,Radial Velocity,2000,3.092514,0.0443,13.9,1.24,291.12,0.916,0.022,1020.1193,1590.53,0.596,,6168.0,1.266865,1.21,0.137,4.341,2.56,0.859771,27.4573,6.25,4.936,6.1106
Kepler-386 b,Kepler-386,1,2,0,0,Transit,2014,12.31043,0.096,1.39,0.124,2.51,0.0079,0.0,43.262,651.0,5.14,87.21,5178.0,0.767,0.825,0.07,4.558,9.9,1.58,882.462,15.949,13.605,15.6172
Kepler-990 c,Kepler-990,1,2,0,0,Transit,2016,0.538354308,0.01232,1.53,0.13649746,2.96,0.0093,0.0,5272.4,2386.0,4.54,82.87,5948.0,1.08,1.05,0.01,4.39,3.55,1.0,802.163,14.716,12.928,14.4949
OGLE-2016-BLG-0613L AB b,OGLE-2016-BLG-0613L AB,2,1,0,1,Microlensing,2017,,6.4,13.0,1.16,1330.0,4.18,,,,3.33,,,,0.72,,,,,3410.0,,,
Kepler-1031 b,Kepler-1031,1,1,0,0,Transit,2016,1.22621732,0.0218,0.87,0.0776162,0.59,0.00186,0.0,3973.86,2024.0,4.92,89.93,6011.0,1.12,1.09,0.03,4.38,3.39,1.06275,682.882,13.877,12.353,
Kepler-223 b,Kepler-223,1,4,0,0,Transit,2014,7.38449,0.07525,2.99,0.26674993,7.4,0.02328289,0.078,444.053,1042.0,1.54,90.0,5803.0,1.72,1.125,0.1,4.46,8.91,0.00401,1859.71,15.69,13.633,15.3951
XO-2 S c,XO-2 S,2,4,0,0,Radial Velocity,2014,120.059,0.4737,13.6,1.21,438.60320166,1.38,0.149,3.3572,376.79,0.958,,5325.0,1.02,0.98,0.32,4.42,7.1,1.542096,151.398,11.196,9.272,10.9278
PH2 b,PH2,1,1,0,0,Transit,2013,282.52542,0.833,9.33708092,0.833,87.08498352,0.274,0.215,1.2,295.1,0.58,89.898,5734.0,0.949,0.966,0.017,4.47,4.1,1.6,343.863,12.645,11.116,12.5811
Kepler-1993 b,Kepler-1993,1,1,0,0,Transit,2023,26.6565737,0.1943,4.15,0.37023884,16.1,0.0506,0.0,157.45,903.0,1.24,88.72,5159.0,3.062,1.373,-0.04,3.604,4.68,0.76375,1031.91,13.451,11.136,13.2589
Kepler-207 b,Kepler-207,1,3,0,0,Transit,2014,1.611865,0.029,1.57,0.14,3.09,0.00972,0.0,4097.318,1930.0,4.39,73.17,5920.0,1.588,1.313,0.29,4.129,3.63,0.28,875.519,13.164,11.805,13.1671
Kepler-1200 b,Kepler-1200,1,1,0,0,Transit,2016,1.118549717,0.0188,1.06,0.09456687,1.2,0.00377,0.0,544.534,1174.0,5.54,87.68,4612.0,0.7,0.74,0.04,4.63,3.02,2.48278,588.715,16.06,13.202,15.7889
