pl_name,hostname,default_flag,sy_snum,sy_pnum,sy_mnum,cb_flag,disc_year,pl_controv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_insol,pl_eqt,st_teff,st_rad,st_mass,st_logg,sy_dist
TOI-663 b,TOI-663,1,1,3,0,0,2024.0,0,2.598902,0.0295,2.27,0.20251618,4.45,0.01400127,Mass,49.1,674.0,3681.0,0.512,0.514,4.7266,64.2308
TOI-663 c,TOI-663,1,1,3,0,0,2024.0,0,4.6955507,0.0437,2.26,0.20162404,3.65,0.01148418,Mass,22.3,553.0,3681.0,0.512,0.514,4.7266,64.2308
TOI-663 d,TOI-663,1,1,3,0,0,2024.0,0,7.1027268,0.0576,1.92,0.17129122,5.2,0.01636103,Mass,12.9,482.0,3681.0,0.512,0.514,4.7266,64.2308
TOI-6651 b,TOI-6651,1,1,1,0,0,2024.0,0,5.056973,0.0633,5.09,0.45410017,61.0,0.19192746,Mass,817.0,1493.0,5940.0,1.721,1.323,4.087,212.128
TOI-6677 b,TOI-6677,1,1,1,0,0,2026.0,0,5.45060661625,,5.83507112,0.52057107,,,,,,6572.28,1.57167,,4.1119,340.52
TOI-669 b,TOI-669,1,1,1,0,0,2023.0,0,3.945152,0.048,2.58606487,0.23071365,10.0,0.03146352,Mass,,1124.85,5597.0,0.9882,0.9245,4.412,142.867
TOI-6692 b,TOI-6692,1,1,1,0,0,2026.0,0,131.125,0.512,11.67975789,1.042,197.05361234,0.62,Mass,,467.0,5890.0,1.385,1.047,4.176,312.903
TOI-6695 b,TOI-6695,1,1,2,0,0,2025.0,0,80.389,0.402,9.52763359,0.85,66.74396547,0.21,Mass,,599.0,6400.0,1.517,1.338,4.202,282.536
TOI-6695 c,TOI-6695,1,1,2,0,0,2025.0,0,242.4,0.838,,,460.85119015,1.45,Msini,,415.0,6400.0,1.517,1.338,4.202,282.536
TOI-6699 b,TOI-6699,1,1,1,0,0,2026.0,0,5.32005926761,,2.32645266,0.20755256,,,,,,4705.1,0.75309,,4.5661,85.8463
TOI-6707 b,TOI-6707,1,1,1,0,0,2026.0,0,3.83479363758,,5.72673066,0.51090557,,,,,,6289.49,1.58202,,4.1578,641.467
TOI-6716 b,TOI-6716,1,1,1,0,0,2026.0,0,4.7185898,0.0319,0.982,0.0876,,,,4.4,369.0,3110.0,0.231,0.223,5.06,18.8873
TOI-672 b,TOI-672,1,1,1,0,0,2023.0,0,3.633581,0.0376,5.31,0.47372729,50.9,0.16014931,Mass,39.8,699.5,3810.0,0.54,0.54,4.7,66.9071
TOI-674 b,TOI-674,1,1,1,0,0,2021.0,0,1.977143,0.025,5.25,0.46837443,23.6,0.0742539,Mass,38.4,635.0,3514.0,0.42,0.42,4.81,46.0851
TOI-677 b,TOI-677,1,1,1,0,0,2020.0,0,11.2365985,0.1041,13.11450742,1.17,392.20025424,1.234,Mass,,1252.0,6295.0,1.28,1.181,4.291,141.812
TOI-682.01,TOI-682,1,1,1,0,0,2021.0,0,6.8392388,,3.74186,0.33382696,,,,234.46,1090.0,5085.0,1.08,,3.92,83.1548
TOI-6894 b,TOI-6894,1,1,1,0,0,2025.0,0,3.37077196,0.02604,9.5836785,0.855,53.39517238,0.168,Mass,5.54,417.9,3007.0,0.2276,0.207,5.039,73.8131
TOI-6954 b,TOI-6954,1,1,1,0,0,2026.0,0,4.02074127419,,3.63524486,0.32431538,,,,,,5170.87,0.947112,,4.4863,190.042
