pl_name,hostname,default_flag,sy_snum,sy_pnum,sy_mnum,cb_flag,disc_year,pl_controv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_insol,pl_eqt,st_teff,st_rad,st_mass,st_logg,sy_dist
75 Cet c,75 Cet,1,2,2,0,0,2023,0,2051.62,3.929,,,289.85950718,0.912,Msini,,,4809.0,10.38,1.92,2.69,82.9613
8 UMi b,8 UMi,1,1,1,0,0,2015,0,93.31,0.462,,,524.41687155,1.65,Msini,,,4847.0,10.73,1.51,,162.552
81 Cet b,81 Cet,1,1,1,0,0,2008,0,1005.57,2.104,,,1051.05854195,3.307,Msini,,,4734.0,11.21,1.23,2.41,101.26
91 Aqr b,91 Aqr,1,3,1,0,0,2013,0,181.4,0.7,,,1017.0,3.2,Msini,,,4665.0,11.0,1.4,2.52,44.0304
AB Aur b,AB Aur,1,1,1,0,0,2022,0,,93.9,,,2860.455663,9.0,Mass,,,9770.0,2.28,2.4,,162.127
AB Pic b,AB Pic,1,1,1,0,0,2005,0,,260.0,19.61575,,4290.5,13.5,Mass,,1700.0,5285.0,,,,50.0475
AF Lep b,AF Lep,1,1,1,0,0,2023,0,8905.0,8.996,14.5717,,1147.36054927,3.61,Mass,,800.0,6130.0,1.25,1.218,,26.8564
AT2021ueyL b,AT2021ueyL,1,1,1,0,0,2025,0,4168.69,4.01,,,425.89006538,1.34,Mass,,,3680.0,,0.49,,1040.0
AU Mic b,AU Mic,1,1,4,0,0,2020,0,8.463446,0.07,4.79,0.42733591,8.99,0.0282857,Mass,,554.8,3540.0,0.862,0.635,4.37,9.7221
AU Mic c,AU Mic,1,1,4,0,0,2021,0,18.859023,0.119,2.79,0.24890756,14.46,0.04549625,Mass,,424.7,3540.0,0.862,0.635,4.37,9.7221
AU Mic d,AU Mic,1,1,4,0,0,2023,0,12.73596,,,,1.053,0.00331,Mass,,,3678.0,0.744,0.51,4.404,9.7221
BD+03 2562 b,BD+03 2562,1,1,1,0,0,2017,0,481.9,1.3,,,2034.112,6.4,Msini,,,4095.0,32.35,1.14,1.89,1070.63
BD+05 4868 A b,BD+05 4868 A,1,2,1,0,0,2025,0,1.271869,0.0208,,,6.2,0.01950738,Mass,,1820.0,4596.0,0.69,0.7,4.6,43.5687
BD+14 4559 b,BD+14 4559,1,1,1,0,0,2009,0,268.94,0.78,,,330.5432,1.04,Msini,,,4864.0,0.86,0.49,4.26,49.352
BD+15 2375 b,BD+15 2375,1,1,1,0,0,2016,0,153.22,0.576,,,337.21763,1.061,Msini,,,4649.0,8.95,1.08,2.61,768.045
BD+15 2940 b,BD+15 2940,1,1,1,0,0,2013,0,137.48,0.539,,,352.78,1.11,Msini,,,4796.0,14.7,1.1,2.8,426.42
BD+20 2457 b,BD+20 2457,1,1,2,0,0,2009,0,379.63,1.45,,,6807.63,21.42,Msini,,,4137.0,49.0,2.8,1.51,1539.71
BD+20 2457 c,BD+20 2457,1,1,2,0,0,2009,0,621.99,2.01,,,3963.17,12.47,Msini,,,4137.0,49.0,2.8,1.51,1539.71
