pl_name,hostname,default_flag,sy_snum,sy_pnum,sy_mnum,cb_flag,disc_year,pl_controv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_insol,pl_eqt,st_teff,st_rad,st_mass,st_logg,sy_dist
K2-195 b,K2-195,1,1,2,0,0,2018,0,15.85297500000,0.1208000000,3.13000000,0.27923990,,,,,720.00,5713.00,0.990000,0.940000,4.420000,315.01400000
K2-195 c,K2-195,1,1,2,0,0,2018,0,28.48278600000,,2.57581891,0.22979917,,,,,,5712.00,0.906367,0.963364,4.550000,315.01400000
K2-196 b,K2-196,1,1,1,0,0,2018,0,48.32422200000,,3.59970536,0.32114420,,,,,,6045.00,1.538801,1.162095,4.080000,584.87700000
K2-197 b,K2-197,1,1,1,0,0,2018,0,8.35788100000,0.0806000000,2.56000000,0.22838790,,,,,848.00,5667.00,0.930000,1.000000,4.500000,247.63700000
K2-198 b,K2-198,1,1,3,0,0,2018,0,17.04286830000,,4.18900000,0.37371755,,,,,715.80,5212.90,0.757000,0.799000,,110.56700000
K2-198 c,K2-198,1,1,3,0,0,2019,0,3.35960550000,,1.42300000,0.12695156,,,,,1229.90,5212.90,0.757000,0.799000,,110.56700000
K2-198 d,K2-198,1,1,3,0,0,2019,0,7.45001770000,,2.43800000,0.21750379,,,,,943.20,5212.90,0.757000,0.799000,,110.56700000
K2-199 b,K2-199,1,1,2,0,0,2018,0,3.22539930000,0.0382000000,1.73000000,0.15434053,6.90000000,0.02170983,Mass,116.2000,913.00,4491.00,0.682000,0.711000,,107.51800000
K2-199 c,K2-199,1,1,2,0,0,2018,0,7.37448970000,0.0662000000,2.85000000,0.25426041,12.40000000,0.03901476,Mass,38.6000,694.00,4491.00,0.682000,0.711000,,107.51800000
K2-200 b,K2-200,1,1,1,0,0,2018,0,2.84988300000,,1.36439870,0.12172350,,,,,,5233.00,0.791736,0.860208,4.710000,184.13100000
K2-201 b,K2-201,1,1,2,0,0,2018,0,1.05979000000,,1.40006712,0.12490562,,,,,,5507.00,0.878161,0.956055,4.680000,197.93200000
K2-201 c,K2-201,1,1,2,0,0,2018,0,22.77987800000,,3.28568401,0.29312909,,,,,,5507.00,0.878161,0.956055,4.680000,197.93200000
K2-2016-BLG-0005L b,K2-2016-BLG-0005L,1,1,1,0,0,2023,0,4700.00000000000,4.1600000000,,,349.61124770,1.10000000,Mass,,,,,0.584000,,5200.00000000
K2-202 b,K2-202,1,1,1,0,0,2018,0,3.40516400000,,2.30165603,0.20534000,,,,,,5491.00,0.910685,0.971461,4.550000,300.39700000
K2-203 b,K2-203,1,1,1,0,0,2018,0,9.69520000000,0.0824000000,1.26549392,0.11290000,,,,,738.40,5026.00,0.765000,0.793000,4.570000,166.14700000
K2-204 b,K2-204,1,1,1,0,0,2018,0,7.05590800000,0.0738000000,3.17214154,0.28300000,,,,,1148.00,5783.00,1.253000,1.076000,4.273000,577.23500000
K2-205 b,K2-205,1,1,1,0,0,2018,0,26.67226300000,,1.99552771,0.17802906,,,,,,5890.00,1.077574,0.951027,4.250000,405.30100000
K2-206 b,K2-206,1,1,1,0,0,2018,0,18.29454900000,,2.79522879,0.24937361,,,,,,5043.00,0.758046,0.789481,4.460000,244.44300000
K2-207 b,K2-207,1,1,1,0,0,2018,0,12.48749000000,,2.60585269,0.23247861,,,,,,5522.00,0.928158,0.941851,4.410000,363.06400000
K2-208 b,K2-208,1,1,1,0,0,2018,0,4.19097000000,0.0487800000,1.67462172,0.14940000,,,,,1122.00,5500.00,0.872000,0.881000,4.503000,256.88700000
K2-209 b,K2-209,1,1,1,0,0,2018,0,2.08061500000,,0.86850263,0.07748261,,,,,,4720.00,0.712365,0.744790,4.460000,76.49860000
K2-21 b,K2-21,1,1,2,0,0,2015,0,9.32503800000,0.0760000000,1.84000000,0.16415380,,,,10.0000,,4222.06,0.646783,0.676023,,83.64480000
K2-21 c,K2-21,1,1,2,0,0,2015,0,15.50192000000,0.1070000000,2.49000000,0.22214292,,,,5.1000,,4222.06,0.646783,0.676023,,83.64480000
K2-210 b,K2-210,1,1,1,0,0,2018,0,0.57023000000,,0.86000000,0.07672419,,,,,,5500.00,0.890000,,4.600000,176.51000000
K2-211 b,K2-211,1,1,1,0,0,2018,0,0.66956100000,0.0141900000,1.33162691,0.11880000,,,,,1873.00,5117.00,0.818000,0.851000,4.543000,272.29700000
K2-212 b,K2-212,1,1,1,0,0,2018,0,9.79564700000,,2.65000000,0.23641757,,,,,,4349.00,0.678000,0.622000,4.720000,109.21800000
K2-213 b,K2-213,1,1,1,0,0,2018,0,8.13087000000,,1.51398464,0.13506866,,,,,,5794.00,1.204240,1.069596,4.250000,389.70200000
K2-214 b,K2-214,1,1,1,0,0,2018,0,8.59656000000,,2.51000000,0.22392759,,,,238.0000,1001.00,5875.00,1.236000,1.030000,4.280000,300.64000000
K2-215 b,K2-215,1,1,1,0,0,2018,0,8.26964800000,,2.12381238,0.18947385,,,,,,5704.00,0.974398,0.999987,4.410000,403.96400000
K2-216 b,K2-216,1,1,1,0,0,2018,0,2.17480000000,0.0280000000,1.75000000,0.15612454,8.00000000,0.02517069,Mass,248.0000,1103.00,4503.00,0.720000,0.700000,4.570000,115.46100000
K2-217 b,K2-217,1,1,1,0,0,2018,0,14.07452400000,,3.57854073,0.31925602,,,,,,5967.00,1.333718,1.102661,4.170000,381.87800000
K2-218 b,K2-218,1,1,1,0,0,2018,0,8.67988500000,,2.56948149,0.22923378,,,,,,5757.00,1.008231,1.047488,4.450000,394.08300000
